Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g,CAQI,CAQI_Opis
2025-05-14 00:00:00,14.8,20.4,381.0,21.8,58.6,3.5,24.666666666666668,Bardzo dobry
2025-05-14 01:00:00,15.1,20.8,366.0,20.8,58.2,2.7,25.166666666666664,Dobry
2025-05-14 02:00:00,12.9,17.4,294.0,13.5,63.0,2.7,26.25,Dobry
2025-05-14 03:00:00,8.9,12.2,242.0,8.3,71.8,2.6,29.916666666666664,Dobry
2025-05-14 04:00:00,8.0,11.4,232.0,7.3,68.0,3.4,28.333333333333332,Dobry
2025-05-14 05:00:00,8.1,11.6,223.0,9.3,64.9,3.2,27.041666666666668,Dobry
2025-05-14 06:00:00,9.3,16.4,270.0,21.3,58.5,3.3,24.375,Bardzo dobry
2025-05-14 07:00:00,9.7,16.9,348.0,45.1,61.2,3.7,25.5,Dobry
2025-05-14 08:00:00,9.5,12.4,326.0,41.7,51.7,3.1,21.541666666666668,Bardzo dobry
2025-05-14 09:00:00,9.1,11.3,302.0,28.8,41.9,2.7,17.458333333333332,Bardzo dobry
2025-05-14 10:00:00,7.5,9.3,303.0,23.8,71.6,3.5,29.833333333333332,Dobry
